image_id,image_path,width,height,max_side,image_area,image_size_class,scale_bin,annotation_count,valid_annotation_count,invalid_bbox_count,tiny_defect_count,giant_defect_count,has_tiny_defect,has_giant_defect,min_bbox_area,max_bbox_area,mean_bbox_area,total_bbox_area,min_mask_area,max_mask_area,total_mask_area
22,images/23.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,6477.4013,6477.4013,6477.4013,6477.4013,3788.0,3788.0,3788.0
23,images/24.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,48358.2119,48358.2119,48358.2119,48358.2119,3988.0,3988.0,3988.0
24,images/25.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,25630.92,25630.92,25630.92,25630.92,3236.0,3236.0,3236.0
25,images/26.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,9380.0,9380.0,9380.0,9380.0,1426.0,1426.0,1426.0
26,images/27.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3248.0,3248.0,3248.0,3248.0,955.0,955.0,955.0
27,images/28.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,10381.7723,10381.7723,10381.7723,10381.7723,691.0,691.0,691.0
29,images/30.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1932.0,1932.0,1932.0,1932.0,1199.0,1199.0,1199.0
30,images/31.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,237.2874,237.2874,237.2874,237.2874,217.0,217.0,217.0
31,images/32.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,315.6067,315.6067,315.6067,315.6067,188.0,188.0,188.0
32,images/33.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1200.0,1200.0,1200.0,1200.0,592.0,592.0,592.0
33,images/34.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,378.0,378.0,378.0,378.0,258.0,258.0,258.0
35,images/36.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,272.8453,272.8453,272.8453,272.8453,98.0,98.0,98.0
36,images/37.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2532.2695,2532.2695,2532.2695,2532.2695,213.0,213.0,213.0
37,images/38.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,5233.9096,5233.9096,5233.9096,5233.9096,391.0,391.0,391.0
38,images/39.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,407.3787,407.3787,407.3787,407.3787,190.0,190.0,190.0
39,images/40.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,752.7604,1134.1324,943.4464,1886.8928,478.0,610.0,1088.0
41,images/42.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1590.7365,1590.7365,1590.7365,1590.7365,873.0,873.0,873.0
42,images/43.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,712.3701,712.3701,712.3701,712.3701,193.0,193.0,193.0
43,images/44.png,288,288,288,82944,regular,short,3,3,0,0,0,0,0,653.6664,681.5118,664.8335,1994.5006,101.0,523.0,1106.0
44,images/45.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,376.5273,376.5273,376.5273,376.5273,142.0,142.0,142.0
45,images/46.png,288,288,288,82944,regular,short,4,4,0,1,0,1,0,220.0,930.0,478.4708,1913.8832,128.0,476.0,958.0
46,images/47.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,279.3732,279.3732,279.3732,279.3732,202.0,202.0,202.0
47,images/48.png,288,288,288,82944,regular,short,3,3,0,0,0,0,0,310.2425,6833.7318,2961.2849,8883.8547,89.0,1228.0,2391.0
48,images/49.png,288,288,288,82944,regular,short,1,1,0,1,0,1,0,95.5063,95.5063,95.5063,95.5063,67.0,67.0,67.0
50,images/51.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,185.1191,867.0002,526.0597,1052.1193,101.0,715.0,816.0
51,images/52.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,16020.0,16020.0,16020.0,16020.0,4966.0,4966.0,4966.0
52,images/53.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,4420.0,4420.0,4420.0,4420.0,1308.0,1308.0,1308.0
53,images/54.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,383.8148,5075.0,2729.4074,5458.8148,169.0,2050.0,2219.0
56,images/57.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2448.0,2448.0,2448.0,2448.0,1058.0,1058.0,1058.0
57,images/58.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,435.5769,435.5769,435.5769,435.5769,284.0,284.0,284.0
58,images/59.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,181.8091,181.8091,181.8091,181.8091,100.0,100.0,100.0
59,images/60.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,562.1555,562.1555,562.1555,562.1555,309.0,309.0,309.0
62,images/63.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,71102.2428,71102.2428,71102.2428,71102.2428,3866.0,3866.0,3866.0
63,images/64.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3108.3343,3108.3343,3108.3343,3108.3343,327.0,327.0,327.0
64,images/65.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3296.9773,3296.9773,3296.9773,3296.9773,798.0,798.0,798.0
66,images/67.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1511.2494,1511.2494,1511.2494,1511.2494,728.0,728.0,728.0
67,images/68.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1562.6757,1562.6757,1562.6757,1562.6757,826.0,826.0,826.0
68,images/69.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3873.5304,3873.5304,3873.5304,3873.5304,1092.0,1092.0,1092.0
69,images/70.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,10426.3564,10426.3564,10426.3564,10426.3564,952.0,952.0,952.0
70,images/71.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,44173.2188,44173.2188,44173.2188,44173.2188,3336.0,3336.0,3336.0
71,images/72.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,46826.5187,46826.5187,46826.5187,46826.5187,4372.0,4372.0,4372.0
72,images/73.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,33355.708,33355.708,33355.708,33355.708,3035.0,3035.0,3035.0
74,images/75.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,19330.3416,19330.3416,19330.3416,19330.3416,4116.0,4116.0,4116.0
75,images/76.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,891.3389,4491.8717,2691.6053,5383.2106,471.0,830.0,1301.0
76,images/77.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,4245.0,4245.0,4245.0,4245.0,898.0,898.0,898.0
79,images/80.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,48872.5291,48872.5291,48872.5291,48872.5291,7748.0,7748.0,7748.0
80,images/81.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,48177.3276,48177.3276,48177.3276,48177.3276,10842.0,10842.0,10842.0
81,images/82.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1741.1855,1741.1855,1741.1855,1741.1855,834.0,834.0,834.0
83,images/84.png,288,288,288,82944,regular,short,2,2,0,1,0,1,0,632.0,1143.1122,887.5561,1775.1122,632.0,652.0,1284.0
84,images/85.png,288,288,288,82944,regular,short,2,2,0,1,0,1,0,198.9892,1632.2974,915.6433,1831.2866,126.0,202.0,328.0
85,images/86.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,7188.2967,7188.2967,7188.2967,7188.2967,445.0,445.0,445.0
86,images/87.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,2600.0,11760.0,7180.0,14360.0,849.0,1292.0,2141.0
87,images/88.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2191.4513,2191.4513,2191.4513,2191.4513,763.0,763.0,763.0
88,images/89.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,16326.2981,31195.891,23761.0946,47522.1892,1771.0,2730.0,4501.0
89,images/90.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,29120.0,29120.0,29120.0,29120.0,3727.0,3727.0,3727.0
90,images/91.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,28531.0,28531.0,28531.0,28531.0,1767.0,1767.0,1767.0
91,images/92.png,288,288,288,82944,regular,short,3,3,0,1,0,1,0,341.0758,20424.3799,7184.7132,21554.1395,283.0,2031.0,2598.0
92,images/93.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1621.15,1621.15,1621.15,1621.15,447.0,447.0,447.0
93,images/94.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,17380.4625,17380.4625,17380.4625,17380.4625,2009.0,2009.0,2009.0
94,images/95.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1944.0,1944.0,1944.0,1944.0,1254.0,1254.0,1254.0
96,images/97.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2280.0,2280.0,2280.0,2280.0,1333.0,1333.0,1333.0
97,images/98.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,649.6561,649.6561,649.6561,649.6561,302.0,302.0,302.0
99,images/100.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,708.0345,708.0345,708.0345,708.0345,304.0,304.0,304.0
101,images/102.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,808.0,808.0,808.0,808.0,406.0,406.0,406.0
102,images/103.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1485.2941,1485.2941,1485.2941,1485.2941,295.0,295.0,295.0
103,images/104.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,926.8322,926.8322,926.8322,926.8322,311.0,311.0,311.0
104,images/105.png,288,288,288,82944,regular,short,1,1,0,1,0,1,0,316.5826,316.5826,316.5826,316.5826,314.0,314.0,314.0
105,images/106.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1032.5633,1032.5633,1032.5633,1032.5633,304.0,304.0,304.0
106,images/107.png,288,288,288,82944,regular,short,1,1,0,1,0,1,0,356.8127,356.8127,356.8127,356.8127,316.0,316.0,316.0
107,images/108.png,288,288,288,82944,regular,short,1,1,0,1,0,1,0,445.937,445.937,445.937,445.937,305.0,305.0,305.0
108,images/109.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1314.9764,1314.9764,1314.9764,1314.9764,310.0,310.0,310.0
109,images/110.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,801.0842,801.0842,801.0842,801.0842,257.0,257.0,257.0
110,images/111.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1875.4941,1875.4941,1875.4941,1875.4941,322.0,322.0,322.0
111,images/112.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,752.0524,752.0524,752.0524,752.0524,314.0,314.0,314.0
112,images/113.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1315.2967,1315.2967,1315.2967,1315.2967,305.0,305.0,305.0
113,images/114.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,832.6249,15680.8066,8256.7157,16513.4315,304.0,1254.0,1558.0
117,images/118.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3553.3058,3553.3058,3553.3058,3553.3058,567.0,567.0,567.0
118,images/119.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,35064.9762,35064.9762,35064.9762,35064.9762,2689.0,2689.0,2689.0
119,images/120.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,822.2542,822.2542,822.2542,822.2542,338.0,338.0,338.0
120,images/121.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,8993.9375,8993.9375,8993.9375,8993.9375,1019.0,1019.0,1019.0
121,images/122.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,16980.0782,16980.0782,16980.0782,16980.0782,1134.0,1134.0,1134.0
122,images/123.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,155.9671,26958.9863,13557.4767,27114.9534,121.0,3796.0,3917.0
123,images/124.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,5039.7949,5039.7949,5039.7949,5039.7949,582.0,582.0,582.0
124,images/125.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,47502.0,47502.0,47502.0,47502.0,2838.0,2838.0,2838.0
125,images/126.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3424.8417,3424.8417,3424.8417,3424.8417,1120.0,1120.0,1120.0
127,images/128.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2321.0,2321.0,2321.0,2321.0,859.0,859.0,859.0
128,images/129.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1480.0,1480.0,1480.0,1480.0,542.0,542.0,542.0
129,images/130.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1600.4963,1600.4963,1600.4963,1600.4963,441.0,441.0,441.0
130,images/131.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,5665.7562,24546.1274,15105.9418,30211.8836,619.0,2224.0,2843.0
131,images/132.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3614.4885,3614.4885,3614.4885,3614.4885,894.0,894.0,894.0
133,images/134.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,4169.5558,23071.4397,13620.4978,27240.9955,714.0,2257.0,2971.0
134,images/135.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1680.0,1680.0,1680.0,1680.0,1098.0,1098.0,1098.0
135,images/136.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1320.8119,1320.8119,1320.8119,1320.8119,885.0,885.0,885.0
136,images/137.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,150.9226,330.0,240.4613,480.9226,108.0,264.0,372.0
137,images/138.png,288,288,288,82944,regular,short,2,2,0,1,0,1,0,87.0326,25600.5573,12843.7949,25687.5899,70.0,3114.0,3184.0
138,images/139.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,14694.0,14694.0,14694.0,14694.0,1564.0,1564.0,1564.0
140,images/141.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,10374.0082,10374.0082,10374.0082,10374.0082,832.0,832.0,832.0
141,images/142.jpg,288,288,288,82944,regular,short,3,3,0,0,0,0,0,431.6882,3005.6129,1936.5318,5809.5955,216.0,382.0,897.0
142,images/143.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,6102.0,6102.0,6102.0,6102.0,1063.0,1063.0,1063.0
143,images/144.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1926.0,1926.0,1926.0,1926.0,1045.0,1045.0,1045.0
144,images/145.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,1345.7814,4158.0,2751.8907,5503.7814,260.0,582.0,842.0
146,images/147.jpg,288,288,288,82944,regular,short,1,1,0,1,0,1,0,998.3553,998.3553,998.3553,998.3553,862.0,862.0,862.0
148,images/149.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,4814.0,4814.0,4814.0,4814.0,1099.0,1099.0,1099.0
149,images/150.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3906.0,3906.0,3906.0,3906.0,466.0,466.0,466.0
150,images/151.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,228.0235,228.0235,228.0235,228.0235,61.0,61.0,61.0
152,images/153.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,392.0,392.0,392.0,392.0,162.0,162.0,162.0
153,images/154.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1826.8678,1826.8678,1826.8678,1826.8678,229.0,229.0,229.0
154,images/155.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,28077.5861,28077.5861,28077.5861,28077.5861,1985.0,1985.0,1985.0
155,images/156.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,143.4389,2074.6109,1109.0249,2218.0498,44.0,243.0,287.0
156,images/157.jpg,288,288,288,82944,regular,short,5,5,0,0,0,0,0,732.1284,20271.0,6087.7501,30438.7507,175.0,4509.0,5792.0
157,images/158.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2496.0,2496.0,2496.0,2496.0,369.0,369.0,369.0
158,images/159.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,3836.5084,13018.8503,8427.6794,16855.3587,488.0,2260.0,2748.0
159,images/160.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,44711.9991,44711.9991,44711.9991,44711.9991,10097.0,10097.0,10097.0
160,images/161.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,2683.1051,13392.0,8037.5525,16075.1051,562.0,2287.0,2849.0
161,images/162.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,336.0,336.0,336.0,336.0,250.0,250.0,250.0
162,images/163.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,5397.4557,49631.9986,27514.7272,55029.4544,526.0,8241.0,8767.0
164,images/165.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,6267.7645,9380.0,7823.8822,15647.7645,568.0,1305.0,1873.0
165,images/166.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,9202.0,9202.0,9202.0,9202.0,2110.0,2110.0,2110.0
166,images/167.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1193.0658,1193.0658,1193.0658,1193.0658,600.0,600.0,600.0
167,images/168.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,18144.0,18144.0,18144.0,18144.0,1950.0,1950.0,1950.0
168,images/169.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,5487.0,5803.0583,5645.0291,11290.0583,840.0,1030.0,1870.0
169,images/170.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1600.0,1600.0,1600.0,1600.0,644.0,644.0,644.0
170,images/171.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1086.0,1086.0,1086.0,1086.0,714.0,714.0,714.0
171,images/172.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,1152.0,12882.0,7017.0,14034.0,233.0,835.0,1068.0
172,images/173.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,13425.0,13425.0,13425.0,13425.0,1608.0,1608.0,1608.0
173,images/174.jpg,288,288,288,82944,regular,short,3,3,0,1,0,1,0,1080.0,6464.8682,4540.2894,13620.8682,1068.0,1416.0,3636.0
174,images/175.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,34221.0042,34221.0042,34221.0042,34221.0042,10795.0,10795.0,10795.0
175,images/176.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,346.291,50687.9345,25517.1127,51034.2254,208.0,7142.0,7350.0
177,images/178.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,62587.0492,62587.0492,62587.0492,62587.0492,5230.0,5230.0,5230.0
178,images/179.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2704.0004,2704.0004,2704.0004,2704.0004,385.0,385.0,385.0
179,images/180.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,339.9845,25823.6621,13081.8233,26163.6466,120.0,1885.0,2005.0
180,images/181.jpg,288,288,288,82944,regular,short,3,3,0,0,0,0,0,1690.0,12375.0,5639.5392,16918.6177,574.0,1876.0,3100.0
182,images/183.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3300.0,3300.0,3300.0,3300.0,1252.0,1252.0,1252.0
183,images/184.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3536.0,3536.0,3536.0,3536.0,1083.0,1083.0,1083.0
184,images/185.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,20817.0,20817.0,20817.0,20817.0,2520.0,2520.0,2520.0
185,images/186.jpg,288,288,288,82944,regular,short,2,2,0,1,0,1,0,11.3256,354.0446,182.6851,365.3702,8.0,106.0,114.0
186,images/187.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,49132.0,49132.0,49132.0,49132.0,4340.0,4340.0,4340.0
187,images/188.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,46426.0,46426.0,46426.0,46426.0,13750.0,13750.0,13750.0
189,images/190.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,8456.0,8456.0,8456.0,8456.0,959.0,959.0,959.0
192,images/193.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,13635.0,20592.209,17113.6045,34227.209,1060.0,1624.0,2684.0
193,images/194.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1416.0,1416.0,1416.0,1416.0,707.0,707.0,707.0
194,images/195.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3675.0,3675.0,3675.0,3675.0,757.0,757.0,757.0
195,images/196.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2176.0,2176.0,2176.0,2176.0,1084.0,1084.0,1084.0
196,images/197.jpg,288,288,288,82944,regular,short,3,3,0,0,0,0,0,228.8426,1370.0,688.4168,2065.2503,168.0,1050.0,1555.0
197,images/198.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3540.0,3540.0,3540.0,3540.0,580.0,580.0,580.0
198,images/199.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,343.2566,1947.3677,1145.3121,2290.6243,328.0,757.0,1085.0
200,images/201.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,29580.0,29580.0,29580.0,29580.0,1361.0,1361.0,1361.0
202,images/203.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,35436.5869,35436.5869,35436.5869,35436.5869,7406.0,7406.0,7406.0
203,images/204.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,49737.0,49737.0,49737.0,49737.0,3146.0,3146.0,3146.0
204,images/205.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1941.7387,1941.7387,1941.7387,1941.7387,235.0,235.0,235.0
207,images/208.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,12528.9959,12528.9959,12528.9959,12528.9959,829.0,829.0,829.0
210,images/211.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,27349.9456,27349.9456,27349.9456,27349.9456,2902.0,2902.0,2902.0
211,images/212.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,57240.0,57240.0,57240.0,57240.0,8932.0,8932.0,8932.0
212,images/213.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2520.0,2520.0,2520.0,2520.0,419.0,419.0,419.0
214,images/215.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,12012.0,12012.0,12012.0,12012.0,1750.0,1750.0,1750.0
215,images/216.jpg,288,288,288,82944,regular,short,3,3,0,0,0,0,0,3295.8874,37560.0413,15961.9762,47885.9287,528.0,5273.0,6948.0
217,images/218.jpg,288,288,288,82944,regular,short,1,1,0,1,0,1,0,748.0,748.0,748.0,748.0,746.0,746.0,746.0
219,images/220.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,33288.0,33288.0,33288.0,33288.0,7333.0,7333.0,7333.0
222,images/223.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,4824.0,4824.0,4824.0,4824.0,517.0,517.0,517.0
223,images/224.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,59241.0,59241.0,59241.0,59241.0,12569.0,12569.0,12569.0
224,images/225.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,29746.0,29746.0,29746.0,29746.0,4026.0,4026.0,4026.0
225,images/226.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,18221.6845,18221.6845,18221.6845,18221.6845,1903.0,1903.0,1903.0
226,images/227.jpg,288,288,288,82944,regular,short,3,3,0,0,0,0,0,63.4649,22974.3054,8801.7402,26405.2207,40.0,3367.0,4706.0
227,images/228.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,76.8834,58252.4555,29164.6694,58329.3389,48.0,9219.0,9267.0
228,images/229.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,60810.5419,60810.5419,60810.5419,60810.5419,6425.0,6425.0,6425.0
229,images/230.jpg,288,288,288,82944,regular,short,6,6,0,0,0,0,0,78.5183,6463.4691,2519.7387,15118.4321,61.0,973.0,3301.0
230,images/231.jpg,288,288,288,82944,regular,short,2,2,0,0,0,0,0,623.9481,18000.0,9311.9741,18623.9481,185.0,1985.0,2170.0
231,images/232.jpg,288,288,288,82944,regular,short,3,3,0,0,0,0,0,631.2144,52674.9991,18128.1938,54384.5814,152.0,1824.0,2207.0
232,images/233.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,8378.736,8378.736,8378.736,8378.736,969.0,969.0,969.0
233,images/234.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,33708.0,33708.0,33708.0,33708.0,1462.0,1462.0,1462.0
234,images/235.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,58788.0,58788.0,58788.0,58788.0,4926.0,4926.0,4926.0
236,images/237.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2248.8424,2248.8424,2248.8424,2248.8424,992.0,992.0,992.0
238,images/239.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,6003.0,6003.0,6003.0,6003.0,1098.0,1098.0,1098.0
